time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.02444680641e-07,-2.94504969213e-08,10.006108309,6.28314966345,6.28293677839,0.0,1.60594071428e-05,-3.04111163436e-06,0.203595317255,-0.00180958385404,-0.0140786912179,0.0,468.4649530740978,467.3692171561308,469.39003963014073,469.24962608941405
0.12000000000000001,8.98540015451e-06,-1.45946571694e-06,10.0215491318,6.28288884126,6.28253922828,0.0,0.000340892207135,-6.3096858413e-05,0.311074910645,-0.00997828312269,0.00518709003516,0.0,438.9954767884855,440.59101269079514,439.19344912225375,438.5156070384345
0.18,4.49525276564e-05,-1.34872814737e-05,10.0488210904,0.000319508972083,6.28278337979,0.0,0.000821811373044,-0.000315432822262,0.59788460415,0.0343679010585,0.00173387659472,0.0,492.8615859662914,492.60626191675624,491.14761770475985,494.4251388728065
0.23999999999999996,0.000102937855845,-1.67847286498e-05,10.0894628993,0.00218076182844,6.2826299897,0.0,0.00111174398555,0.000423780991294,0.756749991845,0.0233090052511,-0.0129297151715,0.0,456.0936392219119,454.92121678958233,456.108923238218,455.2252863662001
0.3,0.000186028230745,6.58801816998e-05,10.1405529237,0.00382770487359,6.28153732291,0.0,0.00176210112695,0.00250808313883,0.946112497577,0.0346552293309,-0.0317130870066,0.0,465.92441200204587,464.4538107339113,464.3594335570006,465.24866410535833
0.36000000000000004,0.000337283987358,0.000312029699236,10.2023874042,0.00559340828368,6.27952671497,0.0,0.00349866405692,0.00591515531854,1.1148858006,0.0161109189186,-0.0373701346875,0.0,458.9875556687667,458.53801293939205,460.21144326993,458.7416765469275
0.4200000000000001,0.000638478170373,0.000796591535666,10.2740798562,0.00616271353078,6.27748192612,0.0,0.00677730927576,0.0103269178747,1.27469632341,-0.00902003305693,-0.0282010658943,0.0,456.70110814404995,457.4313115149577,457.40408403589,455.39846709289924
0.48000000000000015,0.00119615558161,0.00156858695217,10.3579968891,0.0058289244885,6.27545492425,0.0,0.0120362398571,0.0153512231917,1.52224088178,0.000582504183107,-0.0483172960222,0.0,484.1774518147553,482.6613656278148,482.2958064192051,483.02053890848583
0.5400000000000001,0.00210266646985,0.00262008567787,10.4539956273,0.00602657460176,6.27275219492,0.0,0.0184868272933,0.0197108002928,1.67749932811,0.00823041355715,-0.039196930829,0.0,456.79685935455797,457.5223787975542,455.2562991062809,455.8677150043194
0.6000000000000002,0.00344943373893,0.00393638358332,10.5588474504,0.00624161504741,6.27044390536,0.0,0.0266544543405,0.0242050430707,1.81734636374,-0.00786955500205,-0.0370590596492,0.0,451.9704289563412,452.14198847747645,452.8156349735996,451.51867285942126
0.6600000000000003,0.00535665451019,0.00553267684605,10.6736348517,0.00571706031738,6.26806868194,0.0,0.0371803113703,0.0289452558263,2.00858089631,-0.0105484633339,-0.0451929901558,0.0,468.2172639488322,467.58334694938725,468.41827981143604,468.210046005661
0.7200000000000003,0.00791474337775,0.00738776138364,10.7974386606,0.00585264914772,6.26507416949,0.0,0.0483788787057,0.0328720894263,2.11801139158,0.0200666292239,-0.0615710639139,0.0,444.08402308789715,442.7369573081893,442.9726987941701,445.48300996187515
0.7800000000000004,0.0112484370141,0.00949957137511,10.9297829916,0.00727421692128,6.26117559907,0.0,0.0631660834216,0.0376688917756,2.29312195912,0.0301046848438,-0.0728412023322,0.0,465.15448514930773,464.26815463080516,463.67427738839126,464.46220450677293
0.8400000000000004,0.0155462660335,0.0119290532292,11.0719780047,0.00902065214934,6.25707103414,0.0,0.0805518594943,0.0435065786968,2.44638321935,0.0270341609966,-0.0607652568173,0.0,458.0543838995047,459.01025076889636,458.63310980948694,458.38939887101685
0.9000000000000005,0.0210248987496,0.0147638903076,11.2251916363,0.0105515904735,6.2533640531,0.0,0.102493216527,0.0511709814795,2.66025023635,0.0222915676687,-0.0638994504733,0.0,476.6557376877654,476.4137033140019,478.1498520536627,477.7884912342321
0.9600000000000005,0.0276810092524,0.0180136303418,11.3837322181,0.0123182151537,6.24918676173,0.0,0.119704747421,0.0572839304058,2.62450543317,0.0408697731501,-0.0846444005513,0.0,399.7157474117193,397.8162014894189,398.1504623876934,399.8469336217779
1.0200000000000005,0.0355857084715,0.0217146784443,11.5442167737,0.0143883874927,6.24426954376,0.0,0.144286280376,0.0663165715314,2.72472226644,0.0170401842991,-0.0770552888474,0.0,443.3885165459288,444.0060728209779,444.75796848801997,442.80245901043367
1.0800000000000005,0.045024380246,0.0259798583838,11.7096806427,0.01522178682,6.23963119087,0.0,0.170778403296,0.0759442043551,2.79055867615,0.00669856115298,-0.0778115312157,0.0,433.16298619786653,433.09447057820955,434.0248739136615,433.1559555112381
1.1400000000000006,0.0562237884496,0.0308642456338,11.8808898807,0.0154249975295,6.23491973561,0.0,0.203016860767,0.0868964604416,2.91607684921,-0.00423287157554,-0.0799883075358,0.0,453.31960745910845,453.1398633533857,452.31514666728805,451.4338879692948
1.2000000000000006,0.0695802508883,0.0364459440924,12.0620897853,0.0155678374871,6.22993479751,0.0,0.242746638757,0.0991474876901,3.1233424947,0.0131038677876,-0.0901216309313,0.0,477.5614908282851,476.78277421666644,477.7486890729762,479.0687042566706
1.2600000000000007,0.0853378759679,0.0427398664406,12.2538003296,0.0163061502262,6.22455148035,0.0,0.28306970006,0.110725545902,3.26656953499,0.0106580754914,-0.0889348904066,0.0,459.77567991514695,459.8632628026513,460.08323148364383,459.8894171975177
